2017-03-22 17:38:18,055 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 is missing, no dependency information available
2017-03-22 17:38:18,057 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108: Plugin org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 has not been downloaded from it before.
2017-03-22 17:38:18,085 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 is missing, no dependency information available
2017-03-22 17:38:18,086 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108: Plugin org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 has not been downloaded from it before.
2017-03-22 17:38:18,104 [Worker-109] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 17:46:25,752 [Worker-111] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for BackendProject
2017-03-22 17:46:26,429 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 17:46:26,431 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\main\resources
2017-03-22 17:46:26,433 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 17:46:26,435 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\test\resources
2017-03-22 17:46:26,436 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of BackendProject
2017-03-22 17:46:26,436 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for BackendProject
2017-03-22 17:46:26,441 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 is missing, no dependency information available
2017-03-22 17:46:26,443 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108: Plugin org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 has not been downloaded from it before.
2017-03-22 17:46:26,447 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 is missing, no dependency information available
2017-03-22 17:46:26,449 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108: Plugin org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 has not been downloaded from it before.
2017-03-22 17:46:26,464 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:13:14,321 [Worker-126] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for BackendProject
2017-03-22 18:13:14,960 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:13:14,961 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\main\resources
2017-03-22 18:13:14,964 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:13:14,965 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\test\resources
2017-03-22 18:13:14,966 [Worker-122] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of BackendProject
2017-03-22 18:13:14,966 [Worker-122] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for BackendProject
2017-03-22 18:13:14,971 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 is missing, no dependency information available
2017-03-22 18:13:14,973 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108: Plugin org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 has not been downloaded from it before.
2017-03-22 18:13:14,976 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 is missing, no dependency information available
2017-03-22 18:13:14,977 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108: Plugin org.eclipse.jetty:jetty-maven-plugin:9.1.1.v20140108 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.1.1.v20140108 has not been downloaded from it before.
2017-03-22 18:13:14,992 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:13:40,184 [Worker-128] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/8.0.32/tomcat-embed-core-8.0.32-sources.jar
2017-03-22 18:13:46,495 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-03-22 18:13:57,889 [Worker-122] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\new project\BackendProject
2017-03-22 18:13:57,893 [Worker-122] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean compile install
2017-03-22 18:14:30,340 [Worker-128] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/8.0.32/tomcat-embed-core-8.0.32-sources.jar
2017-03-22 18:14:30,530 [Worker-128] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.apache.tomcat.embed:tomcat-embed-core:8.0.32
2017-03-22 18:14:31,425 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:14:31,427 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\main\resources
2017-03-22 18:14:31,429 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:14:31,430 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\test\resources
2017-03-22 18:15:45,075 [Worker-130] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:15:45,076 [Worker-130] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\main\resources
2017-03-22 18:15:45,080 [Worker-130] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:15:45,082 [Worker-130] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\test\resources
2017-03-22 18:15:51,112 [Worker-131] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:15:51,118 [Worker-131] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\main\resources
2017-03-22 18:15:51,128 [Worker-131] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 18:15:51,129 [Worker-131] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\new project\BackendProject\src\test\resources
